Team Name,Against Team,Date,Home Team,Away Team,FT,HT,HTFT,ATFT,HTHT,ATHT,Result,Half-Time Result,Half-Time leading team Win?,MainTeamW_L,MainTeamW_LBin,HTWL,ATWL,HTWS,ATWS,HTBS,ATBS,HTTR,ATTR,Grouped Team Rating,Against Team Rating,Home Team Rating,Away Team Rating,MatchFixtureRating
Man City,Man United,18-11-2000,Man City,Man United,0-1,0-1,0,1,0,1,Man United,Man United,Yes,L,0,L,W,0,8,0,6,0,14,5.22763,6.81657,5.35737,7.06805,-14
Man United,Man City,18-11-2000,Man City,Man United,0-1,0-1,0,1,0,1,Man United,Man United,Yes,W,2,L,W,0,8,0,6,0,14,6.81657,5.22763,5.35737,7.06805,14
Middlesbrough,Leicester,18-11-2000,Middlesbrough,Leicester,0-3,0-2,0,3,0,2,Leicester,Leicester,Yes,L,0,L,W,0,8,0,8,0,16,3.09211,3.27132,3.39474,3.08527,-16
Newcastle,Sunderland,18-11-2000,Newcastle,Sunderland,1-2,1-0,1,2,1,0,Sunderland,Newcastle,No,L,0,L,W,0,8,0,1,0,9,3.47167,2.46805,3.78333,2.35714,-9
Southampton,Aston Villa,18-11-2000,Southampton,Aston Villa,2-0,2-0,2,0,2,0,Southampton,Southampton,Yes,W,2,W,L,3,0,7,0,10,0,3.30000,3.27303,3.46117,3.39474,10
Sunderland,Newcastle,18-11-2000,Newcastle,Sunderland,1-2,1-0,1,2,1,0,Sunderland,Newcastle,No,W,2,L,W,0,8,0,1,0,9,2.46805,3.47167,3.78333,2.35714,9
West Ham,Leeds,18-11-2000,Leeds,West Ham,0-1,0-1,0,1,0,1,West Ham,West Ham,Yes,W,2,L,W,0,8,0,6,0,14,3.20641,4.25658,3.52632,3.03901,14
Liverpool,Tottenham,19-11-2000,Tottenham,Liverpool,2-1,2-1,2,1,2,1,Tottenham,Tottenham,Yes,L,0,W,L,3,0,6,0,9,0,5.61095,4.57396,4.78402,5.82840,-9
Tottenham,Liverpool,19-11-2000,Tottenham,Liverpool,2-1,2-1,2,1,2,1,Tottenham,Tottenham,Yes,W,2,W,L,3,0,6,0,9,0,4.57396,5.61095,4.78402,5.82840,9
Coventry,Ipswich,20-11-2000,Coventry,Ipswich,0-1,0-0,0,1,0,0,Ipswich,Draw,Draw,L,0,L,W,0,8,0,1,0,9,2.60526,3.63158,2.31579,3.94737,-9
Ipswich,Coventry,20-11-2000,Coventry,Ipswich,0-1,0-0,0,1,0,0,Ipswich,Draw,Draw,W,2,L,W,0,8,0,1,0,9,3.63158,2.60526,2.31579,3.94737,9
Aston Villa,Coventry,25-11-2000,Coventry,Aston Villa,1-1,0-1,1,1,0,1,Draw,Aston Villa,No,D,1,D,D,1,1,0,0,1,1,3.27303,2.60526,2.31579,3.39474,0
Bradford,Middlesbrough,25-11-2000,Middlesbrough,Bradford,2-2,0-2,2,2,0,2,Draw,Bradford,No,D,1,D,D,1,1,0,0,1,1,1.42105,3.09211,3.39474,0.94737,0
Charlton,Sunderland,25-11-2000,Charlton,Sunderland,0-1,0-0,0,1,0,0,Sunderland,Draw,Draw,L,0,L,W,0,8,0,1,0,9,3.31955,2.46805,3.52632,2.35714,-9
Chelsea,Everton,25-11-2000,Everton,Chelsea,2-1,0-1,2,1,0,1,Everton,Chelsea,No,L,0,W,L,3,0,1,0,4,0,6.53550,3.77663,4.08876,6.99408,-4
Coventry,Aston Villa,25-11-2000,Coventry,Aston Villa,1-1,0-1,1,1,0,1,Draw,Aston Villa,No,D,1,D,D,1,1,0,0,1,1,2.60526,3.27303,2.31579,3.39474,0
Derby,Man United,25-11-2000,Derby,Man United,0-3,0-0,0,3,0,0,Man United,Draw,Draw,L,0,L,W,0,8,0,3,0,11,1.83333,6.81657,2.29825,7.06805,-11
Everton,Chelsea,25-11-2000,Everton,Chelsea,2-1,0-1,2,1,0,1,Everton,Chelsea,No,W,2,W,L,3,0,1,0,4,0,3.77663,6.53550,4.08876,6.99408,4
Ipswich,Man City,25-11-2000,Man City,Ipswich,2-3,0-2,2,3,0,2,Ipswich,Ipswich,Yes,W,2,L,W,0,8,0,6,0,14,3.63158,5.22763,5.35737,3.94737,14
Leicester,Tottenham,25-11-2000,Tottenham,Leicester,3-0,2-0,3,0,2,0,Tottenham,Tottenham,Yes,L,0,W,L,3,0,8,0,11,0,3.27132,4.57396,4.78402,3.08527,-11
